run_id,epoch,model,context_style,val/iid_w_loss,val/far_w_loss,val/wide_w_loss
eh3kfpnc,907,explicit-aux-transformer,near,0.5856663584709167,0.57293301820755,0.5856663584709167
4c23wv7v,907,explicit-aux-transformer,near,0.5849108099937439,0.5743630528450012,0.5849108099937439
5xyuty17,907,explicit-aux-transformer,near,0.5862299203872681,0.5749287009239197,0.5862299203872681
jb2cf9hc,907,explicit-aux-transformer,near,0.5884974002838135,0.5733014941215515,0.5884974002838135
a57nrrrh,907,explicit-aux-transformer,near,0.5853224396705627,0.5742724537849426,0.5853224396705627
nl0o8h06,839,explicit-aux-transformer,same,0.5879495143890381,0.5723849534988403,0.5879495143890381
1imqnwqk,839,explicit-aux-transformer,same,0.5858659148216248,0.5720649361610413,0.5858659148216248
rfqzvqsy,839,explicit-aux-transformer,same,0.5865186452865601,0.5762267112731934,0.5865186452865601
azbeeiqu,839,explicit-aux-transformer,same,0.5859324932098389,0.5720085501670837,0.5859324932098389
k6ziqp9s,839,explicit-aux-transformer,same,0.5863001346588135,0.5724376440048218,0.5863001346588135
gd8lhi8d,533,explicit-known,near,0.5912104249000549,0.5782317519187927,0.5912104249000549
2rxd6fm2,533,explicit-known,near,0.5924943089485168,0.5840935707092285,0.5924943089485168
55528v1a,533,explicit-known,near,0.5884275436401367,0.5748980641365051,0.5884275436401367
6l6q5ybi,533,explicit-known,near,0.5879229307174683,0.5746162533760071,0.5879229307174683
mwz75jaa,533,explicit-known,near,0.5856547951698303,0.5775778889656067,0.5856547951698303
2t5wbsxg,533,explicit-known,same,0.5895746350288391,0.576248288154602,0.5895746350288391
6t89e1n3,533,explicit-known,same,0.5862030386924744,0.5772023797035217,0.5862030386924744
7142xpxl,533,explicit-known,same,0.5896243453025818,0.5758881568908691,0.5896243453025818
koym0d2d,533,explicit-known,same,0.5905935168266296,0.5833025574684143,0.5905935168266296
h5ixthcp,533,explicit-known,same,0.5916323065757751,0.5765427350997925,0.5916323065757751
cz58bv8m,956,explicit-mlp,near,0.5886219143867493,0.5769637227058411,0.5886219143867493
qvicgz0e,956,explicit-mlp,near,0.5900420546531677,0.5769379734992981,0.5900420546531677
1qt05tkl,956,explicit-mlp,near,0.5904818177223206,0.5785883069038391,0.5904818177223206
aqv35qeo,956,explicit-mlp,near,0.592272162437439,0.5778276920318604,0.592272162437439
vzdneu2q,956,explicit-mlp,near,0.5914910435676575,0.578440248966217,0.5914910435676575
lxuo3390,956,explicit-mlp,same,0.5880703926086426,0.5752906203269958,0.5880703926086426
djy4g1yr,956,explicit-mlp,same,0.5900476574897766,0.5773149132728577,0.5900476574897766
0di0wgtv,956,explicit-mlp,same,0.5940300226211548,0.5791051983833313,0.5940300226211548
jj23nruw,956,explicit-mlp,same,0.5902026891708374,0.5764461755752563,0.5902026891708374
ytg2ikbf,956,explicit-mlp,same,0.5930300951004028,0.5791813731193542,0.5930300951004028
72q4gjz4,948,explicit-transformer,near,0.5876298546791077,0.5735241770744324,0.5876298546791077
d80bs668,948,explicit-transformer,near,0.5901881456375122,0.5766500234603882,0.5901881456375122
b2g33t16,948,explicit-transformer,near,0.5896276235580444,0.5777013301849365,0.5896276235580444
nydifyd8,948,explicit-transformer,near,0.5905601382255554,0.5780045986175537,0.5905601382255554
1f44vgza,948,explicit-transformer,near,0.5894620418548584,0.5805698037147522,0.5894620418548584
a1ua9t4y,960,explicit-transformer,same,0.5921955704689026,0.5789334774017334,0.5921955704689026
hbwk7cde,960,explicit-transformer,same,0.5860362648963928,0.5793287754058838,0.5860362648963928
e6jq5r55,960,explicit-transformer,same,0.5925865769386292,0.5799165964126587,0.5925865769386292
fxg4jxzl,960,explicit-transformer,same,0.5886124968528748,0.5798439383506775,0.5886124968528748
tsggzptl,960,explicit-transformer,same,0.589199960231781,0.5750278830528259,0.589199960231781
